,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Beloha,2,MG,1559362547,96,-25.17,45.06,63.06,5.21
1,Cape Town,90,ZA,1559362331,100,-33.93,18.42,53.01,2.24
2,Moratuwa,20,LK,1559362549,79,6.77,79.88,84.2,6.93
3,San Miguel,90,AR,1559362552,100,-34.54,-58.72,59.0,3.38
4,Bluff,67,AU,1559362553,31,-23.58,149.07,66.3,10.76
5,Nikolskoye,0,RU,1559362554,76,59.7,30.79,50.0,6.71
6,New Norfolk,20,AU,1559362556,55,-42.78,147.06,60.8,10.29
7,Hermanus,0,ZA,1559362557,98,-34.42,19.24,54.0,1.01
8,Ushuaia,75,AR,1559362558,74,-54.81,-68.31,33.8,13.87
9,Tuatapere,100,NZ,1559362559,80,-46.13,167.69,43.0,5.01
10,Bathsheba,40,BB,1559362560,74,13.22,-59.52,80.6,16.11
11,Rikitea,60,PF,1559362561,85,-23.12,-134.97,75.48,10.83
12,Jamestown,85,AU,1559362563,69,-33.21,138.6,54.6,8.41
13,Hithadhoo,100,MV,1559362564,75,-0.6,73.08,84.3,9.73
14,Poum,75,MK,1559362565,87,41.28,20.71,50.0,4.7
15,Stavnsholt,96,DK,1559362566,93,55.82,12.39,59.0,6.93
16,Longyearbyen,0,NO,1559362568,73,78.22,15.63,32.0,23.04
17,Ponta do Sol,0,BR,1559362569,94,-20.63,-46.0,62.52,3.6
18,Mataura,99,NZ,1559362570,80,-46.19,168.86,43.0,5.01
19,Genc,75,TR,1559362571,52,38.75,40.56,68.0,2.24
20,Tasiilaq,12,GL,1559362572,80,65.61,-37.64,30.2,9.17
21,Terney,9,RU,1559362574,64,45.05,136.61,62.34,6.93
22,Carnarvon,0,ZA,1559362575,69,-30.97,22.13,48.12,3.27
23,Los Llanos de Aridane,1,ES,1559362576,82,28.66,-17.92,66.2,10.29
24,Butaritari,79,KI,1559362577,74,3.07,172.79,83.94,9.35
25,Upernavik,96,GL,1559362578,89,72.79,-56.15,30.3,9.78
26,Bredasdorp,0,ZA,1559362579,93,-34.53,20.04,46.0,1.12
27,Iqaluit,20,CA,1559362580,80,63.75,-68.52,33.8,3.36
28,Khatanga,80,RU,1559362582,44,71.98,102.47,61.62,13.65
29,Arraial do Cabo,17,BR,1559362583,81,-22.97,-42.02,76.2,1.9
30,Yaransk,100,RU,1559362584,94,57.3,47.88,63.42,4.59
31,Grindavik,75,IS,1559362585,93,63.84,-22.43,46.0,4.7
32,Quelimane,75,MZ,1559362586,88,-17.88,36.89,68.0,10.29
33,Bira,23,RU,1559362587,70,49.0,132.47,62.7,2.57
34,Faanui,12,PF,1559362589,70,-16.48,-151.75,82.86,6.91
35,Havre-Saint-Pierre,75,CA,1559362590,81,50.23,-63.6,42.8,5.82
36,Puerto Ayora,19,EC,1559362591,85,-0.74,-90.35,74.94,8.16
37,Atuona,14,PF,1559362592,76,-9.8,-139.03,82.5,15.1
38,Saldanha,0,PT,1559362593,58,41.42,-6.55,63.96,2.86
39,Bandarbeyla,100,SO,1559362595,81,9.49,50.81,76.56,18.12
40,Airai,92,TL,1559362596,51,-8.93,125.41,86.1,7.36
41,Sao Filipe,1,CV,1559362597,88,14.9,-24.5,72.96,19.01
42,Port Alfred,78,ZA,1559362598,95,-33.59,26.89,59.0,2.62
43,Chokurdakh,29,RU,1559362599,65,70.62,147.9,43.26,12.66
44,Fukue,75,JP,1559362600,53,35.03,136.69,80.01,5.82
45,Leh,22,IN,1559362602,44,34.16,77.58,34.8,1.34
46,Makungu,7,TZ,1559362603,98,-8.74,35.29,51.18,2.21
47,Kapaa,40,US,1559362604,74,22.08,-159.32,82.4,10.29
48,Taoudenni,0,ML,1559362605,11,22.68,-3.98,94.2,11.36
49,Te Anau,95,NZ,1559362606,82,-45.41,167.72,35.88,4.52
50,Chicama,75,PE,1559362607,82,-7.84,-79.15,68.0,11.41
51,Wanning,75,AT,1559362609,87,48.64,13.53,55.99,2.24
52,Ribeira Grande,80,PT,1559362610,92,38.52,-28.7,66.48,16.24
53,Hilo,90,US,1559362611,83,19.71,-155.08,75.2,4.7
54,Atocha,0,EC,1559362612,93,-1.22,-78.6,46.99,2.24
55,Belmonte,0,PT,1559362613,86,40.36,-7.35,51.01,2.68
56,Muli,0,IN,1559362615,62,22.62,71.45,87.54,14.23
57,Timmins,90,CA,1559362616,61,48.48,-81.33,50.0,6.93
58,Syracuse,20,US,1559362617,82,43.05,-76.15,55.4,3.36
59,Mitu,18,IR,1559362618,57,36.2,46.09,57.12,4.43
60,Barrow,62,AR,1559362619,93,-38.31,-60.23,44.88,7.74
61,Siwana,0,IN,1559362621,45,25.65,72.42,94.02,14.32
62,Orda,53,RU,1559362622,71,57.2,56.91,59.64,5.46
63,Slavutych,88,UA,1559362623,76,51.52,30.76,57.3,7.14
64,Bowen,90,AU,1559362624,60,-20.01,148.25,70.0,11.41
65,Dehloran,0,IR,1559362625,22,32.69,47.27,76.92,10.33
66,Albany,1,US,1559362360,87,42.65,-73.75,61.0,5.39
67,Ulladulla,0,AU,1559362628,45,-35.36,150.48,64.4,9.17
68,Hokitika,99,NZ,1559362599,45,-42.72,170.96,54.24,8.05
69,Saskylakh,18,RU,1559362630,56,71.97,114.09,53.16,17.27
70,Ayan,26,TR,1559362631,85,40.67,33.6,56.04,1.57
71,Busselton,44,AU,1559362632,34,-33.64,115.35,72.0,12.19
72,Cajati,97,BR,1559362633,99,-24.73,-48.11,63.42,2.13
73,Saint George,20,GR,1559362635,76,39.45,22.34,57.2,4.7
74,Qaanaaq,70,GL,1559362636,85,77.48,-69.36,22.56,3.56
75,Sioux Lookout,20,CA,1559362637,86,50.1,-91.92,51.8,2.24
76,Port Elizabeth,90,US,1559362638,88,39.31,-74.98,70.0,2.59
77,Kodiak,1,US,1559362639,82,39.95,-94.76,68.0,3.89
78,Liverpool,75,GB,1559362575,87,53.41,-2.98,57.99,5.82
79,Mar del Plata,100,AR,1559362642,91,-46.43,-67.52,42.54,9.06
80,Yellowknife,40,CA,1559362407,42,62.45,-114.38,48.2,3.36
81,Cidreira,100,BR,1559362644,79,-30.17,-50.22,61.98,7.94
82,Male,100,UA,1559362645,97,50.74,33.7,62.34,9.78
83,La Rioja,99,AR,1559362646,92,-29.41,-66.86,43.26,5.7
84,Tiksi,77,RU,1559362647,95,71.64,128.87,33.72,4.88
85,Rosarito,40,CO,1559362649,100,4.91,-75.23,68.0,4.7
86,Aklavik,5,CA,1559362650,24,68.22,-135.01,59.0,12.75
87,Valle Hermoso,75,MX,1559362651,88,25.67,-97.82,82.99,11.41
88,Mahajanga,20,MG,1559362652,83,-15.72,46.32,69.8,2.24
89,Launceston,0,AU,1559362654,54,-41.43,147.14,63.0,3.36
90,Tianpeng,37,CN,1559362655,54,28.88,112.34,82.14,3.24
91,Matara,12,PE,1559362656,83,-13.74,-72.9,32.1,0.58
92,Tanout,29,NE,1559362657,41,14.97,8.88,87.54,9.04
93,Hamilton,75,BM,1559362446,94,32.3,-64.78,75.2,9.17
94,Avarua,0,CK,1559362660,88,-21.21,-159.78,75.2,12.75
95,Tete,0,MZ,1559362661,93,-16.16,33.59,48.2,1.54
96,Isla Mujeres,40,MX,1559362662,83,21.23,-86.73,82.4,2.24
97,Mehamn,71,NO,1559362663,70,71.03,27.85,43.44,4.38
98,Vaini,75,IN,1559362665,83,15.34,74.49,78.8,3.36
99,Mount Isa,0,AU,1559362666,25,-20.73,139.49,66.2,12.75
100,San Patricio,93,PY,1559362667,96,-26.98,-56.83,60.18,3.24
101,Cayenne,20,GF,1559362668,94,4.94,-52.33,75.2,4.18
102,Namibe,0,AO,1559362669,82,-15.19,12.15,66.12,12.12
103,East London,12,ZA,1559362671,89,-33.02,27.91,56.4,1.95
104,Vestmannaeyjar,88,IS,1559362672,72,63.44,-20.27,43.98,16.31
105,Xichang,100,CN,1559362673,90,27.88,102.25,47.22,3.24
106,Siguiri,100,GN,1559362674,63,11.42,-9.17,82.32,10.33
107,Kenai,90,US,1559362676,71,60.55,-151.26,55.0,11.41
108,Filadelfia,12,PY,1559362677,89,-22.35,-60.04,61.26,7.81
109,Kaeo,99,NZ,1559362678,100,-35.1,173.78,52.0,18.23
110,Yakeshi,90,CN,1559362679,71,49.28,120.73,51.54,4.59
111,Portland,20,US,1559362566,50,45.52,-122.67,75.2,9.17
112,Port Lincoln,99,AU,1559362681,76,-34.72,135.86,59.28,10.02
113,Pedernales,99,EC,1559362683,86,0.07,-80.05,76.92,13.69
114,Sorong,83,ID,1559362684,78,-0.86,131.25,85.02,2.15
115,Rundu,0,NA,1559362685,43,-17.91,19.77,55.4,2.24
116,Toora-Khem,24,RU,1559362686,38,52.47,96.11,55.32,5.59
117,Sao Joao da Barra,0,BR,1559362687,80,-21.64,-41.05,72.42,6.15
118,Kloulklubed,75,PW,1559362688,74,7.04,134.26,87.8,11.41
119,Thinadhoo,100,MV,1559362690,74,0.53,72.93,83.94,9.78
120,Gornopravdinsk,41,RU,1559362691,43,60.06,69.92,56.22,9.73
121,Lebu,88,ET,1559362692,85,8.96,38.73,56.58,1.7
122,Redwater,1,CA,1559362693,45,53.95,-113.11,66.2,8.05
123,Sidi Ali,0,DZ,1559362694,68,36.1,0.42,69.36,8.46
124,Tiarei,75,PF,1559362578,74,-17.53,-149.33,80.6,10.29
125,Yar-Sale,84,RU,1559362697,84,66.83,70.83,30.48,10.38
126,Krasnogorsk,0,RU,1559362698,67,55.82,37.34,64.4,6.71
127,Palimbang,40,PH,1559362699,59,14.9,120.78,93.99,9.17
128,Katsuura,75,JP,1559362700,50,33.93,134.5,75.2,10.29
129,Bratsk,20,RU,1559362701,39,56.15,101.63,55.0,8.95
130,Vigrestad,75,NO,1559362702,93,58.57,5.7,53.6,20.8
131,Saint-Philippe,1,CA,1559362703,71,45.36,-73.48,51.8,3.36
132,Jutai,100,BR,1559362705,99,-1.71,-47.89,73.5,2.08
133,Itacarambi,45,BR,1559362706,61,-15.1,-44.09,70.26,1.23
134,Kaitangata,83,NZ,1559362707,71,-46.28,169.85,43.0,5.99
135,Sola,75,NO,1559362708,93,58.89,5.65,53.6,20.8
136,Karatuzskoye,73,RU,1559362709,72,53.61,92.87,55.32,10.25
137,Karratha,0,AU,1559362711,11,-20.74,116.85,77.1,23.35
138,Aguilas,0,ES,1559362712,70,37.41,-1.58,57.99,2.95
139,Georgetown,40,GY,1559362496,100,6.8,-58.16,75.2,2.24
140,Hobart,20,AU,1559362484,55,-42.88,147.33,60.8,10.29
141,Souillac,0,FR,1559362716,77,45.6,-0.6,60.8,2.24
142,Itoman,75,JP,1559362717,83,26.12,127.67,86.0,9.17
143,Hay River,90,CA,1559362718,66,60.82,-115.79,39.2,12.75
144,Saint-Leu,0,RE,1559362719,60,-21.15,55.28,73.4,5.82
145,Palestine,1,US,1559362663,100,31.76,-95.63,73.4,2.66
146,Rosario,29,UY,1559362722,91,-34.31,-57.35,48.0,7.99
147,Komsomolskiy,100,RU,1559362723,94,67.55,63.78,30.3,3.47
148,San Quintin,9,PH,1559362724,47,17.54,120.52,94.02,6.76
149,Chipinge,0,ZW,1559362725,86,-20.19,32.62,51.72,2.48
150,Kamen-Rybolov,28,RU,1559362727,48,44.75,132.04,65.04,3.24
151,Pacific Grove,90,US,1559362728,82,36.62,-121.92,66.99,8.05
152,Werda,43,DE,1559362729,93,50.44,12.3,57.0,3.36
153,Novoasbest,19,RU,1559362730,60,57.74,60.29,58.38,2.73
154,Itarema,79,BR,1559362732,93,-2.92,-39.92,76.38,6.22
155,Tuktoyaktuk,20,CA,1559362733,70,69.44,-133.03,42.8,14.99
156,Torbay,91,CA,1559362734,96,47.66,-52.73,35.01,1.01
157,Huarmey,100,PE,1559362738,91,-10.07,-78.15,63.24,15.17
158,Hastings,4,NZ,1559362482,51,-39.64,176.84,52.8,15.61
159,Port Blair,100,IN,1559362740,73,11.67,92.75,85.92,12.8
160,Camacha,20,PT,1559362742,88,33.08,-16.33,66.2,11.41
161,Volchikha,97,RU,1559362743,42,52.02,80.36,67.38,8.23
162,Diyarb Najm,47,EG,1559362744,69,30.75,31.44,75.2,3.36
163,Dikson,100,RU,1559362745,97,73.51,80.55,32.46,10.94
164,Shingu,75,JP,1559362746,57,33.72,135.99,75.2,5.82
165,Cherskiy,100,RU,1559362747,35,68.75,161.3,61.44,7.83
166,Kyaukse,75,MM,1559362749,59,21.6,96.13,91.4,9.17
167,Nelson Bay,75,AU,1559362750,87,-32.72,152.14,59.0,10.29
168,Labuhan,58,ID,1559362751,60,-2.54,115.51,89.52,1.5
169,Narsaq,5,GL,1559362752,74,60.91,-46.05,37.4,2.24
170,Ancud,90,CL,1559362754,100,-41.87,-73.83,50.0,13.87
171,Punta Arenas,90,CL,1559362755,93,-53.16,-70.91,37.4,12.75
172,Santa Isabel do Rio Negro,100,BR,1559362756,98,-0.41,-65.02,73.86,1.77
173,Mahebourg,75,MU,1559362757,88,-20.41,57.7,75.2,5.82
174,Caravelas,0,BR,1559362758,83,-17.73,-39.27,75.66,6.82
175,Kruisfontein,35,ZA,1559362759,94,-34.0,24.73,52.98,3.2
176,Lompoc,1,US,1559362761,87,34.64,-120.46,57.0,6.93
177,Fort Nelson,90,CA,1559362762,45,58.81,-122.69,66.2,4.7
178,Flin Flon,0,CA,1559362763,34,54.77,-101.88,50.28,10.42
179,Nago,5,IT,1559362764,87,45.88,10.89,59.0,2.24
180,Rio Gallegos,90,AR,1559362765,86,-51.62,-69.22,39.2,10.29
181,Golyshmanovo,86,RU,1559362766,88,56.4,68.37,56.58,11.63
182,Norman Wells,75,CA,1559362768,62,65.28,-126.83,57.2,16.11
183,Provideniya,1,RU,1559362769,53,64.42,-173.23,51.18,1.68
184,Nome,1,US,1559362770,100,30.04,-94.42,75.0,4.32
185,Nhulunbuy,75,AU,1559362771,61,-12.18,136.78,82.4,20.8
186,Salalah,75,OM,1559362772,74,17.01,54.1,86.0,6.93
187,Salekhard,98,RU,1559362563,90,66.54,66.62,34.44,4.68
188,Peniche,0,PT,1559362775,56,39.36,-9.38,71.01,5.82
189,Kahului,40,US,1559362776,61,20.89,-156.47,82.99,18.34
190,Asosa,86,ET,1559362777,83,10.07,34.53,66.84,4.03
191,Rawson,99,AR,1559362778,72,-43.3,-65.11,47.58,7.0
192,Ordu,0,TR,1559362779,82,40.98,37.88,62.6,2.51
193,Kibondo,77,TZ,1559362780,90,-3.59,30.72,61.26,2.53
194,Karasjok,100,NO,1559362782,86,69.47,25.52,41.0,23.04
195,Bezenchuk,0,RU,1559362783,71,52.99,49.43,72.78,4.27
196,Basoko,100,CD,1559362784,98,1.23,23.61,70.26,2.1
197,Avera,40,US,1559362785,60,33.19,-82.53,82.4,4.7
198,Bilibino,87,RU,1559362786,87,68.06,166.44,46.86,4.18
199,Victoria,75,BN,1559362648,66,5.28,115.24,91.4,4.7
200,Nouakchott,0,MR,1559362789,94,18.08,-15.98,68.0,12.75
201,Xinmin,0,CN,1559362790,33,42.0,122.83,77.0,4.47
202,Vao,0,EE,1559362791,63,59.1,26.19,45.96,9.08
203,Luderitz,0,NA,1559362792,87,-26.65,15.16,50.0,4.7
204,Noumea,90,NC,1559362794,53,-22.28,166.46,73.4,10.29
205,Papayal,25,EC,1559362795,87,-2.43,-79.18,75.0,5.82
206,Turayf,40,SA,1559362796,23,31.68,38.65,77.0,11.41
207,Zhigansk,0,RU,1559362797,35,66.77,123.37,58.92,11.45
208,Henties Bay,0,NA,1559362798,84,-22.12,14.28,57.3,9.22
209,Broome,0,GB,1559362799,93,52.47,1.45,55.99,8.05
210,Mount Gambier,90,AU,1559362801,76,-37.83,140.78,55.4,5.82
211,Hasaki,75,JP,1559362802,57,35.73,140.83,82.0,8.05
212,Kutoarjo,62,ID,1559362803,59,-7.72,109.9,83.04,8.48
213,Teya,75,MX,1559362804,94,21.05,-89.07,81.0,4.7
214,Warri,100,NG,1559362696,89,5.52,5.75,77.28,4.65
215,Chuy,78,UY,1559362806,64,-33.69,-53.46,60.0,5.5
216,Macas,100,EC,1559362808,95,-2.3,-78.12,47.04,3.2
217,Carutapera,100,BR,1559362809,91,-1.2,-46.02,77.64,4.65
218,Hofn,87,IS,1559362810,82,64.25,-15.21,25.62,6.8
219,Ust-Kan,93,RU,1559362811,53,50.93,84.77,52.08,5.64
220,Darasun,0,RU,1559362812,38,51.66,113.98,61.0,4.47
221,Sampit,55,ID,1559362813,59,-2.54,112.95,87.54,5.77
222,Nuuk,0,GL,1559362815,72,64.17,-51.74,32.0,6.93
223,Constitucion,40,MX,1559362816,29,23.99,-104.67,77.0,8.05
224,Bondo,86,CD,1559362817,87,3.81,23.69,69.9,2.26
225,Gashua,42,NG,1559362818,43,12.87,11.04,89.52,3.36
226,Boca do Acre,77,BR,1559362819,91,-8.76,-67.39,74.94,2.24
227,Poltava,83,UA,1559362821,81,49.59,34.55,69.18,2.04
228,Port Macquarie,90,AU,1559362822,72,-31.43,152.91,68.0,8.05
229,Marystown,90,CA,1559362823,80,47.17,-55.16,40.2,7.02
230,Lavrentiya,90,RU,1559362824,61,65.58,-170.99,48.66,8.99
231,Ilhabela,92,BR,1559362815,81,-23.78,-45.36,76.02,8.57
232,Castro,90,CL,1559362805,100,-42.48,-73.76,50.0,13.87
233,Vardo,1,US,1559362828,52,39.62,-77.74,69.8,3.36
234,Geraldton,75,CA,1559362829,65,49.72,-86.95,46.4,4.7
235,Kota Kinabalu,75,MY,1559362830,66,5.98,116.07,91.4,5.82
236,Udachnyy,0,RU,1559362831,23,66.42,112.4,64.4,8.95
237,Bambous Virieux,75,MU,1559362832,88,-20.34,57.76,75.2,5.82
238,Egvekinot,24,RU,1559362833,67,66.32,-179.17,40.38,10.18
239,Puri,71,ID,1559362835,55,-7.54,112.45,85.92,9.17
240,Gizo,20,IL,1559362836,83,31.8,34.94,75.0,4.7
241,Acapulco,75,MX,1559362837,74,16.86,-99.88,84.2,8.05
242,Severo-Kurilsk,77,RU,1559362838,91,50.68,156.12,41.28,14.85
243,Tiznit,100,MA,1559362839,65,29.7,-9.73,72.42,13.87
244,Pangnirtung,44,CA,1559362841,66,66.15,-65.72,42.18,1.95
245,Itapirapua,1,BR,1559362842,60,-15.82,-50.61,72.06,1.54
246,Vaitape,12,PF,1559362843,70,-16.52,-151.75,82.86,6.91
247,Millbrook,1,US,1559362844,88,32.48,-86.36,75.99,5.73
248,San Cristobal,0,EC,1559362846,93,-0.39,-78.55,55.4,2.24
249,Anadyr,0,RU,1559362847,61,64.73,177.51,46.4,15.66
250,Tuy Hoa,100,VN,1559362848,36,13.08,109.3,99.06,2.35
251,Pevek,0,RU,1559362849,79,69.7,170.27,36.96,14.83
252,Margate,20,AU,1559362850,55,-43.03,147.26,60.8,10.29
253,Ferrol,0,ES,1559362852,87,43.48,-8.23,66.0,4.7
254,Pisco,90,PE,1559362853,77,-13.71,-76.2,66.2,5.82
255,Angostura,0,MX,1559362854,75,25.37,-108.16,79.0,5.41
256,Juventino Rosas,40,MX,1559362855,44,20.64,-101.0,77.0,10.29
257,Touros,20,BR,1559362857,94,-5.2,-35.46,75.2,4.7
258,Maniitsoq,0,GL,1559362858,70,65.42,-52.9,41.82,5.41
259,La Baule-Escoublac,0,FR,1559362859,93,47.28,-2.4,57.2,2.24
260,Stovring,100,DK,1559362860,93,56.89,9.84,55.99,4.0
261,Pavlodar,0,KZ,1559362861,43,52.28,76.96,73.4,2.24
262,Ilebo,63,CD,1559362863,95,-4.33,20.59,69.9,1.54
263,Baykit,5,RU,1559362864,37,61.68,96.39,52.26,3.31
264,Salinas,90,US,1559362823,82,36.67,-121.66,68.0,8.05
265,Aksu,0,KZ,1559362866,43,52.04,76.93,73.4,2.24
266,Madang,95,PG,1559362867,48,-5.21,145.81,86.82,5.21
267,Minab,0,IR,1559362869,70,27.15,57.07,87.8,4.7
268,Singarayakonda,72,IN,1559362870,50,15.25,80.02,96.18,7.31
269,Naliya,0,IN,1559362871,79,23.26,68.83,86.1,16.49
270,Thompson,40,CA,1559362630,60,55.74,-97.86,39.2,9.17
271,Ponta Delgada,75,PT,1559362873,100,37.73,-25.67,64.4,10.29
272,Saravan,0,AM,1559362875,40,39.72,45.65,71.6,3.51
273,Makokou,100,GA,1559362876,98,0.56,12.85,70.98,2.46
