,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
274,Matagami,100,NG,1559362877,96,9.67,8.4,70.26,5.37
275,Haukipudas,0,FI,1559362878,65,65.17,25.5,48.0,14.99
276,Husavik,0,CA,1559362879,61,50.56,-96.99,50.0,7.09
277,Ibra,0,OM,1559362880,36,22.69,58.55,86.46,4.56
278,Sangar,46,RU,1559362882,34,63.92,127.47,63.24,14.7
279,Pemba,20,MZ,1559362883,93,-12.97,40.52,64.4,8.05
280,Missoula,90,US,1559362884,77,46.87,-114.0,66.2,2.59
281,Sungairaya,72,ID,1559362885,71,0.7,108.9,84.66,6.08
282,Fortuna Foothills,1,US,1559362811,13,32.66,-114.41,84.2,9.17
283,Westport,100,IE,1559362887,89,53.8,-9.52,54.0,12.68
284,Bethel,75,US,1559362889,51,60.79,-161.76,60.8,8.05
285,Cabo San Lucas,5,MX,1559362862,36,22.89,-109.91,80.6,14.92
286,Rauma,0,FI,1559362891,66,61.13,21.5,48.2,8.05
287,Berlevag,0,NO,1559362892,82,70.86,29.09,41.64,2.95
288,Sur,0,OM,1559362893,22,22.57,59.53,99.42,13.56
289,Tabas,80,IR,1559362895,36,33.6,56.92,77.0,4.7
290,Inirida,60,CO,1559362896,87,3.87,-67.92,75.84,1.61
291,The Valley,20,AI,1559362752,83,18.22,-63.06,78.01,6.93
292,Balabac,49,PH,1559362898,72,7.99,117.06,86.64,13.82
293,Kieta,7,PG,1559362899,65,-6.22,155.63,87.0,11.25
294,Mackay,40,CA,1559362900,63,53.65,-115.58,60.8,6.93
295,Baturaja,100,ID,1559362902,61,-4.12,104.17,85.02,3.49
296,Jacareacanga,35,BR,1559362903,95,-6.22,-57.76,74.4,1.16
297,Laguna,0,MX,1559362904,56,27.52,-110.01,81.24,7.56
298,Harper,1,US,1559362905,78,30.3,-99.24,77.0,8.59
299,Gillette,75,US,1559362907,100,44.29,-105.5,55.99,7.14
300,Srednekolymsk,96,RU,1559362908,73,67.46,153.71,48.66,15.64
301,Whitianga,89,NZ,1559362909,85,-36.83,175.7,53.01,3.0
302,Marsaxlokk,20,MT,1559362910,93,35.84,14.54,60.01,4.7
303,San Francisco,40,US,1559362832,87,37.78,-122.42,69.01,17.22
304,Guerrero Negro,0,MX,1559362914,84,27.97,-114.04,64.14,13.53
305,Codrington,90,AU,1559362915,60,-28.95,153.24,68.0,11.41
306,Garoua,70,CM,1559362916,65,9.31,13.39,81.42,4.52
307,Meulaboh,100,ID,1559362917,74,4.14,96.13,83.22,2.77
308,Cumaral,88,CO,1559362918,81,3.7,-73.91,68.1,2.95
309,Bafq,0,IR,1559362919,48,31.6,55.4,67.2,10.16
310,Ilulissat,22,GL,1559362921,74,69.22,-51.1,37.4,6.64
311,Deputatskiy,91,RU,1559362922,76,69.3,139.9,46.14,5.99
312,Eydhafushi,100,MV,1559362923,71,5.1,73.07,84.48,9.4
313,Sabana de Torres,75,CO,1559362730,100,7.39,-73.5,68.0,3.36
314,Santa Maria,90,BR,1559362885,93,-29.69,-53.81,59.0,5.82
315,Valle de Allende,39,MX,1559362927,42,26.94,-105.39,78.36,9.62
316,Mahibadhoo,87,MV,1559362928,70,3.78,72.97,84.66,8.57
317,Nizhniy Tsasuchey,0,RU,1559362929,35,50.52,115.13,62.7,11.25
318,Mampong,100,GH,1559362931,97,7.06,-1.4,71.7,6.78
319,Makakilo City,1,US,1559362932,54,21.35,-158.09,84.2,10.29
320,Alofi,75,NU,1559362933,69,-19.06,-169.92,78.8,6.93
321,Paamiut,2,GL,1559362934,96,61.99,-49.67,34.98,11.83
322,Alpine,75,US,1559362936,60,43.07,-85.69,71.6,4.7
323,Ciudad Bolivar,100,VE,1559362937,71,8.12,-63.55,81.6,7.05
324,Batemans Bay,0,AU,1559362938,57,-35.71,150.18,66.0,1.99
325,San Jeronimo,6,PE,1559362939,60,-13.65,-73.37,41.64,6.76
326,Sindor,78,RU,1559362940,46,62.87,51.9,56.76,6.69
327,Havoysund,95,NO,1559362942,93,71.0,24.66,39.2,19.46
328,Eresos,0,GR,1559362943,64,39.17,25.93,71.6,9.6
329,Nanortalik,3,GL,1559362944,86,60.14,-45.24,34.98,3.33
330,Marondera,0,ZW,1559362743,85,-18.19,31.55,45.6,3.98
331,Imbituba,75,BR,1559362946,93,-28.24,-48.67,66.2,6.93
332,Vanimo,82,PG,1559362947,73,-2.67,141.3,85.92,13.89
333,Mier,20,IT,1559362949,82,46.13,12.19,59.0,3.36
334,Djibo,80,BF,1559362950,27,14.1,-1.63,96.54,18.45
335,Fuzhou,90,CN,1559362951,94,26.08,119.3,69.8,8.95
336,Mecca,100,SA,1559362877,17,21.43,39.83,97.62,7.4
337,Zhangye,0,CN,1559362953,13,38.94,100.46,70.44,8.75
338,Rio Grande,1,BR,1559362954,85,-32.03,-52.1,54.24,3.13
339,Talnakh,90,RU,1559362956,89,69.49,88.39,32.0,4.47
340,Nishihara,75,JP,1559362957,64,35.74,139.53,81.0,4.7
341,Miyako,75,JP,1559362958,53,33.63,130.94,88.0,12.75
342,Vari,0,GR,1559362959,67,37.83,23.8,70.0,2.24
343,Gloversville,1,US,1559362813,87,43.05,-74.34,60.01,4.25
344,Fortuna,0,ES,1559362962,62,38.18,-1.13,60.8,4.7
345,Hami,0,CN,1559362963,11,42.84,93.51,80.52,1.74
346,Ostrovnoy,28,RU,1559362964,63,68.05,39.51,45.06,20.47
347,Pustoshka,90,RU,1559362965,97,56.34,29.37,52.26,3.96
348,Hegra,20,NO,1559362966,86,63.46,11.11,41.0,9.17
349,Sepolno Krajenskie,75,PL,1559362968,100,53.45,17.53,57.0,2.24
350,Zheleznodorozhnyy,0,RU,1559362969,68,55.75,38.0,64.4,8.95
351,Port Hardy,90,CA,1559362878,82,50.7,-127.42,55.4,4.7
352,Puerto El Triunfo,40,SV,1559362971,100,13.27,-88.55,75.2,2.24
353,Weiser,1,US,1559362972,41,44.25,-116.97,75.2,5.82
354,Kodinsk,46,RU,1559362974,29,58.6,99.18,61.08,3.27
355,Vostok,2,RU,1559362975,60,46.45,135.83,60.72,8.52
356,Marienburg,55,DE,1559362976,93,52.12,9.98,60.01,1.12
357,Khalkhal,0,IR,1559362977,73,37.62,48.53,48.48,4.16
358,Poso,87,ID,1559362978,85,-1.4,120.75,70.62,3.91
359,Grand Forks,40,US,1559362953,50,47.91,-97.06,59.0,10.29
360,Teutonia,0,DE,1559362981,93,51.59,9.03,55.0,2.24
361,Hamada,75,JP,1559362982,68,34.9,132.08,82.0,10.29
362,Sitka,0,US,1559362983,78,37.17,-99.65,66.99,3.0
363,Talaya,20,RU,1559362984,56,55.79,84.89,44.6,4.47
364,Anchorage,90,US,1559362985,41,61.22,-149.89,62.6,12.75
365,Conceicao do Araguaia,7,BR,1559362721,86,-8.26,-49.26,75.3,1.25
366,Tura,6,IN,1559362988,67,25.52,90.21,86.64,4.68
367,Healesville,75,AU,1559362989,62,-37.65,145.52,59.0,10.29
368,Vila Franca do Campo,75,PT,1559362990,93,37.72,-25.43,66.2,10.29
369,Grand Gaube,75,MU,1559362992,88,-20.01,57.66,75.2,5.82
370,Bilma,0,NE,1559362993,36,18.69,12.92,87.0,10.94
371,Ahipara,100,NZ,1559362994,100,-35.17,173.16,52.0,30.24
372,Waipawa,4,NZ,1559362995,77,-39.94,176.59,48.0,8.01
373,Muros,0,ES,1559362996,77,42.77,-9.06,64.99,3.22
374,Kokopo,100,PG,1559362997,59,-4.34,152.27,85.74,6.11
375,Talcahuano,20,CL,1559362999,87,-36.72,-73.12,57.2,8.05
376,Ziway,90,ET,1559363000,81,7.93,38.72,60.0,4.99
377,Segezha,0,RU,1559363001,58,63.74,34.31,45.24,11.72
378,Huoqiu,100,CN,1559363002,26,32.34,116.27,85.56,10.78
379,Elko,90,US,1559363003,62,40.83,-115.76,57.2,6.93
380,Grafton,75,AU,1559363005,52,-29.69,152.93,69.8,12.75
381,Kati,20,ML,1559363006,78,12.75,-8.07,78.8,8.05
382,Weymouth,5,US,1559363007,93,42.22,-70.94,61.0,11.41
383,Cabedelo,20,BR,1559363008,100,-6.97,-34.84,73.4,3.36
384,Umm Kaddadah,49,SD,1559363009,37,13.6,26.69,76.92,1.61
385,Villanueva de la Serena,0,ES,1559363011,39,38.97,-5.8,64.99,8.01
386,Vilyuysk,97,RU,1559363012,49,63.75,121.63,65.04,10.98
387,Amapa,75,HN,1559363013,83,15.09,-87.97,80.6,5.82
388,Yulara,0,AU,1559363014,38,-25.24,130.99,59.0,17.22
389,Kalmunai,100,LK,1559363015,72,7.42,81.82,83.76,1.36
390,Ambilobe,8,MG,1559363016,97,-13.19,49.05,69.18,2.59
391,Broken Hill,90,AU,1559363018,62,-31.97,141.45,53.6,13.87
392,Bindi,45,NG,1559363019,41,12.86,8.84,87.72,3.83
393,Howard,90,AU,1559363020,49,-25.32,152.56,75.0,13.87
394,Funadhoo,100,MV,1559363021,71,6.15,73.27,84.48,10.54
395,Ostersund,56,SE,1559363022,75,63.18,14.64,43.0,8.05
396,Jumla,0,NP,1559363024,24,29.28,82.18,67.2,1.12
397,Alice Springs,0,AU,1559362890,41,-23.7,133.88,57.2,16.11
398,Lensk,0,RU,1559363026,25,60.71,114.91,68.28,5.79
399,Mayo,75,CA,1559363027,67,63.59,-135.9,59.0,4.7
400,Teguldet,0,RU,1559363028,47,57.31,88.17,44.88,8.37
401,Vernon,1,CA,1559362777,41,50.27,-119.27,75.2,5.82
402,Uttaradit,75,TH,1559363031,79,17.63,100.1,93.99,3.36
403,Uchiza,100,PE,1559363032,37,-8.46,-76.46,71.16,3.89
404,Bani,20,PH,1559363033,49,15.89,120.27,92.4,6.06
405,Visby,35,SE,1559363034,93,57.64,18.3,46.99,8.14
406,Sumenep,67,ID,1559363035,57,-7.02,113.87,85.56,6.67
407,Butembo,77,CD,1559363037,88,0.12,29.29,63.06,3.11
408,Lasa,0,CY,1559363038,64,34.92,32.53,71.6,5.82
409,Progreso,20,UY,1559363039,87,-34.68,-56.22,55.0,9.04
410,Libertador General San Martin,99,AR,1559363040,99,-23.81,-64.79,53.88,0.67
411,Semenivka,96,UA,1559363042,83,52.18,32.58,56.4,6.67
412,Nemuro,40,JP,1559363043,46,43.32,145.57,71.6,14.99
413,Magalia,1,US,1559363044,44,39.81,-121.58,84.2,2.62
414,Cosoveni,75,RO,1559363045,100,44.25,23.93,59.0,3.36
415,Necochea,5,AR,1559363047,95,-38.55,-58.74,37.99,1.01
416,Faya,40,SA,1559363048,40,18.39,42.45,69.8,6.2
417,Jati,0,PK,1559363049,54,24.35,68.27,91.32,16.31
418,Daru,100,SL,1559363050,99,7.99,-10.85,72.78,2.28
419,Dzhebariki-Khaya,100,RU,1559363051,77,62.22,135.8,52.98,4.92
420,Nova Olimpia,17,BR,1559363053,63,-14.8,-57.29,72.96,1.88
421,Manggar,100,ID,1559363054,70,-2.88,108.27,85.92,8.48
422,Cairns,90,AU,1559363055,73,-16.92,145.77,77.0,12.75
423,Brae,100,GB,1559363056,93,60.4,-1.35,48.2,5.82
424,Lima,90,PE,1559362803,88,-12.06,-77.04,64.4,8.05
425,Esperance,91,TT,1559363059,78,10.24,-61.45,78.8,5.82
426,San Jose,19,PH,1559363060,38,15.79,120.99,97.08,8.48
427,Bela,0,PK,1559363062,18,26.23,66.31,94.38,1.34
428,La Ronge,5,CA,1559363063,53,55.1,-105.3,50.0,3.36
429,Vengurla,90,IN,1559363064,79,15.86,73.64,84.2,3.36
430,Kropotkin,0,RU,1559363065,76,45.43,40.58,65.76,5.35
431,Kavieng,72,PG,1559363066,72,-2.57,150.8,85.56,11.34
432,Clyde River,1,CA,1559363068,86,70.47,-68.59,30.2,9.17
433,Quchan,0,IR,1559363069,68,37.11,58.51,54.24,2.8
434,Praia,0,BR,1559363070,93,-20.25,-43.81,62.6,3.76
435,Mogadishu,40,SO,1559363071,65,2.04,45.34,82.4,13.87
436,Kutum,37,SD,1559363072,15,14.2,24.66,76.38,4.54
437,Klaksvik,100,FO,1559363073,81,62.23,-6.59,42.8,14.99
438,Loreto,96,PY,1559363075,92,-23.27,-57.32,64.68,5.19
439,Jadu,18,LY,1559363076,85,31.95,12.03,60.18,6.82
440,Svetlaya,92,RU,1559363077,44,46.54,138.33,64.68,6.71
441,Progress,100,RU,1559363078,55,49.74,129.68,63.6,5.64
442,Chingirlau,0,KZ,1559363080,65,51.09,54.08,74.4,4.32
443,Ketchikan,90,US,1559363081,93,55.34,-131.65,53.6,11.41
444,Lata,37,IN,1559363082,48,30.78,78.62,45.42,3.29
445,Newport,90,GB,1559362843,81,51.59,-3.0,54.0,4.7
446,Sabzevar,12,IR,1559363084,52,36.21,57.68,60.9,6.2
447,Isangel,75,VU,1559363086,61,-19.55,169.27,80.6,16.11
448,Kirakira,31,SB,1559363087,76,-10.46,161.92,82.5,15.32
449,Batagay,33,RU,1559363088,46,67.65,134.64,58.92,6.8
450,Awbari,92,LY,1559363089,41,26.59,12.77,78.0,18.5
451,Batticaloa,100,LK,1559363018,72,7.71,81.69,83.76,1.36
452,Zholymbet,9,KZ,1559363091,57,51.74,71.71,72.42,13.35
453,Waddan,100,LY,1559363093,68,29.16,16.14,70.98,4.03
454,Mana,90,RS,1559363094,100,43.52,20.24,55.4,2.24
455,Pascagoula,1,US,1559362826,74,30.37,-88.56,84.2,4.7
456,Phichit,40,TH,1559363096,70,16.44,100.37,86.0,6.93
457,Conceicao do Castelo,0,BR,1559363097,85,-20.37,-41.24,66.84,5.79
458,Asmara,9,ER,1559363099,39,15.34,38.93,77.46,1.03
459,Caceres,96,CO,1559363096,65,5.53,-74.53,69.18,3.33
460,Sao Gabriel,62,BR,1559362831,95,-30.34,-54.32,53.7,7.4
461,Sergeyevka,0,KZ,1559363102,77,53.88,67.42,66.12,11.77
462,Sulangan,98,PH,1559363103,70,11.14,123.72,87.0,8.28
463,Najran,40,SA,1559363104,47,17.54,44.22,78.8,2.42
464,Shepsi,0,RU,1559363106,76,44.04,39.15,71.7,4.81
465,Alexandria,1,US,1559363107,73,31.31,-92.44,77.0,4.7
466,Okhotsk,100,RU,1559363108,80,59.36,143.24,46.5,10.65
467,Karasuk,100,RU,1559363109,80,53.73,78.03,56.94,7.05
468,Beringovskiy,78,RU,1559363111,47,63.05,179.32,53.88,5.59
469,Obala,20,CM,1559363112,100,4.17,11.53,69.8,4.7
470,Pouembout,99,NC,1559363113,74,-21.12,164.9,72.78,18.75
471,Decatur,1,US,1559363114,82,35.51,-84.79,70.0,3.2
472,Leningradskiy,95,RU,1559363115,92,69.38,178.42,33.36,7.9
473,Griffith,0,AU,1559363117,58,-34.29,146.06,60.01,13.87
474,Naze,100,NG,1559363118,97,5.43,7.07,72.06,3.27
475,Birjand,75,IR,1559363119,45,32.86,59.22,68.0,4.7
476,Vieste,40,IT,1559363120,87,41.88,16.18,59.0,11.41
477,Makaryev,0,RU,1559363121,91,57.88,43.81,59.28,4.68
478,Weihe,100,CN,1559363123,32,32.99,105.33,70.8,3.29
479,Padang,100,ID,1559363124,72,-0.92,100.36,83.4,4.9
480,Maykor,0,RU,1559363125,69,59.01,55.89,58.74,5.73
481,Praia da Vitoria,20,PT,1559363126,88,38.73,-27.07,68.0,14.99
482,Katherine,75,AU,1559363127,26,-14.47,132.26,78.8,17.22
483,Hambantota,75,LK,1559363128,83,6.12,81.12,84.2,11.41
484,Schotten,20,DE,1559363130,93,50.5,9.12,55.99,2.24
485,Lorengau,92,PG,1559363131,87,-2.02,147.27,82.5,7.74
486,Belaya Gora,100,RU,1559363132,58,68.54,146.19,52.98,7.23
487,Estevan,1,CA,1559363133,53,49.14,-102.99,54.0,6.93
488,Tres Arroyos,62,AR,1559363135,93,-38.38,-60.28,44.88,7.74
489,Puerto Escondido,100,MX,1559363136,76,15.86,-97.07,79.8,1.34
490,Mgachi,100,RU,1559363137,94,51.05,142.27,44.34,6.93
491,Timbuktu,30,ML,1559363138,12,16.77,-3.01,94.56,9.15
492,Esna,90,RO,1559363139,93,45.2,27.57,60.8,9.17
493,Santa Luzia,0,BR,1559363141,93,-19.77,-43.85,62.6,4.7
494,Shimoda,75,JP,1559363142,73,34.7,138.93,82.0,6.93
495,Luba,9,PH,1559363143,47,17.32,120.7,94.02,6.76
496,Tabuk,17,PH,1559363144,58,17.41,121.44,85.02,1.14
497,Icod de los Vinos,20,ES,1559363146,82,28.37,-16.71,69.01,2.24
498,Valdosta,1,US,1559362883,83,30.83,-83.28,80.6,8.88
499,Ouesso,100,CG,1559363148,98,1.61,16.05,70.08,1.7
500,Princeton,1,US,1559363149,82,41.37,-89.46,71.6,4.7
501,Malchevskaya,0,RU,1559363150,66,49.06,40.36,70.26,4.72
502,Saint-Joseph,0,FR,1559363152,87,43.56,6.97,62.6,3.36
503,Jaggayyapeta,75,IN,1559363153,59,16.89,80.1,91.68,5.53
504,Knysna,20,ZA,1559363154,81,-34.04,23.05,51.8,4.7
505,Port-Gentil,98,GA,1559363155,86,-0.72,8.78,77.28,13.51
506,Asyut,0,EG,1559363157,44,27.18,31.19,78.8,11.41
507,Soria,0,ES,1559363158,71,41.76,-2.46,51.01,3.71
508,Battle Creek,1,US,1559362960,64,42.32,-85.18,69.8,10.29
509,Trairi,47,BR,1559363160,98,-3.28,-39.27,72.96,3.36
510,Klyuchi,42,RU,1559363161,53,52.25,79.17,67.92,2.46
511,Yeppoon,75,AU,1559363162,48,-23.13,150.74,62.6,5.82
512,Buin,20,CL,1559363164,81,-33.73,-70.74,46.4,2.24
513,Damavand,40,IR,1559363033,42,35.72,52.07,68.0,4.7
514,Segou,0,SN,1559363166,52,12.41,-12.29,87.8,6.93
515,Vestmanna,100,FO,1559363167,81,62.16,-7.17,42.8,14.99
516,Roebourne,0,AU,1559363168,11,-20.77,117.15,76.02,23.29
517,Lakota,1,US,1559363169,61,48.04,-98.34,50.0,6.93
518,Baie-Comeau,75,CA,1559363121,70,49.22,-68.15,46.4,5.82
519,Beaufort,75,MY,1559362983,66,5.36,115.76,91.0,4.7
520,Arlit,0,NE,1559363173,30,18.74,7.39,90.06,10.96
521,Tarbes,0,FR,1559363046,93,43.23,0.08,62.01,3.36
522,Kununurra,0,AU,1559363175,16,-15.77,128.74,75.2,14.99
523,Khandyga,100,RU,1559363176,65,62.65,135.58,55.14,2.39
524,Seaside,1,US,1559363177,81,45.99,-123.92,57.99,6.93
525,Bubaque,98,GW,1559363178,84,11.28,-15.83,78.0,13.89
526,Caucaia,40,BR,1559363180,69,-3.73,-38.66,86.0,9.17
527,Northam,60,GB,1559363181,93,51.04,-4.21,55.0,2.24
528,Moindou,75,NC,1559363182,50,-21.69,165.68,75.2,10.29
529,Moron,100,VE,1559363183,92,10.49,-68.2,75.84,0.78
530,Issia,100,CI,1559363184,97,6.49,-6.58,71.7,3.83
531,Shitanjing,0,CN,1559363186,14,39.23,106.34,77.64,23.02
532,Bamiantong,54,CN,1559363187,43,44.93,130.53,66.48,9.31
533,Pokhara,2,NP,1559362960,46,28.21,83.99,65.4,5.88
534,Rioja,66,PE,1559363189,99,-6.06,-77.17,54.06,2.57
535,Sinnamary,97,GF,1559363190,83,5.38,-52.96,80.88,10.47
536,Igarka,100,RU,1559363191,97,67.47,86.57,35.16,11.05
537,Rach Gia,40,VN,1559363193,70,10.02,105.08,91.4,3.36
538,Metsavan,0,GE,1559363194,71,41.2,44.23,53.6,3.65
539,Melville,1,CA,1559363195,50,50.93,-102.81,51.8,8.05
540,Lazaro Cardenas,5,MX,1559363196,21,28.39,-105.62,81.0,11.41
541,Joshimath,0,IN,1559363197,16,30.57,79.57,69.18,2.39
542,Semnan,20,IR,1559363198,56,35.58,53.39,68.0,2.24
543,Evensk,96,RU,1559363200,37,61.92,159.24,65.4,10.49
544,Umm Lajj,83,SA,1559363201,64,25.02,37.27,87.18,11.14
545,Tamandare,7,BR,1559363202,79,-8.28,-70.75,75.84,1.52
546,Poquoson,90,US,1559363203,93,37.12,-76.35,71.01,4.7
547,Kishi,89,NG,1559363205,89,9.08,3.85,73.32,9.17
548,Shenjiamen,62,CN,1559363206,72,29.96,122.3,69.54,6.93
